'Delta (FP2)','Delta (FP1)','Delta (C4)','Delta (C3)','Delta (P8)','Delta (P7)','Delta (O1)','Delta (O2)','Theta (FP2)','Theta (FP1)','Theta (C4)','Theta (C3)','Theta (P8)','Theta (P7)','Theta (O1)','Theta (O2)','Alpha (FP2)','Alpha (FP1)','Alpha (C4)','Alpha (C3)','Alpha (P8)','Alpha (P7)','Alpha (O1)','Alpha (O2)','Beta (FP2)','Beta (FP1)','Beta (C4)','Beta (C3)','Beta (P8)','Beta (P7)','Beta (O1)','Beta (O2)','Gamma (FP2)','Gamma (FP1)','Gamma (C4)','Gamma (C3)','Gamma (P8)','Gamma (P7)','Gamma (O1)','Gamma (O2)','d/t (FP2)','d/t (FP1)','d/t (C4)','d/t (C3)','d/t (P8)','d/t (P7)','d/t (O1)','d/t (O2)','d/a (FP2)','d/a (FP1)','d/a (C4)','d/a (C3)','d/a (P8)','d/a (P7)','d/a (O1)','d/a (O2)','d/b (FP2)','d/b (FP1)','d/b (C4)','d/b (C3)','d/b (P8)','d/b (P7)','d/b (O1)','d/b (O2)','d/g (FP2)','d/g (FP1)','d/g (C4)','d/g (C3)','d/g (P8)','d/g (P7)','d/g (O1)','d/g (O2)','t/a (FP2)','t/a (FP1)','t/a (C4)','t/a (C3)','t/a (P8)','t/a (P7)','t/a (O1)','t/a (O2)','t/b (FP2)','t/b (FP1)','t/b (C4)','t/b (C3)','t/b (P8)','t/b (P7)','t/b (O1)','t/b (O2)','t/g (FP2)','t/g (FP1)','t/g (C4)','t/g (C3)','t/g (P8)','t/g (P7)','t/g (O1)','t/g (O2)','a/b (FP2)','a/b (FP1)','a/b (C4)','a/b (C3)','a/b (P8)','a/b (P7)','a/b (O1)','a/b (O2)','a/g (FP2)','a/g (FP1)','a/g (C4)','a/g (C3)','a/g (P8)','a/g (P7)','a/g (O1)','a/g (O2)','b/g (FP2)','b/g (FP1)','b/g (C4)','b/g (C3)','b/g (P8)','b/g (P7)','b/g (O1)','b/g (O2)','EDA','TEMP','HR','HF','LF','VLF','TP','LF_HF','LF_NU','Clas'
0.116435401,-0.108077103,-0.000796778,-0.021824544,-0.052001271,-0.052366123,-0.142626805,-0.065745239,0.06979229,-0.100234825,0.028478698,-0.092361944,-0.065441727,-0.078033224,-0.081549632,-0.042612373,0.064095119,-0.119209753,0.004581389,-0.010005836,-0.035460413,-0.060126831,-0.096007026,-0.01363575,-0.006055553,-0.091517025,-0.00652196,-0.041936267,-0.022857064,-0.074626616,-0.061956641,-0.016539408,0.032580386,-0.07589831,-0.000907479,-0.01911783,0.002288771,-0.022355512,-0.063759173,-0.072860482,1.094512919,1.050034127,1.044186028,1.135998161,1.0731563,1.085699437,0.987272668,1.036226475,1.150862765,1.132102746,1.094563041,1.109796851,1.055850526,1.111904448,1.051006895,1.029509143,1.304027808,1.154394662,1.127422137,1.172852812,1.083099494,1.186834066,1.087592937,1.085375991,1.331940873,1.176805912,1.142469028,1.17375482,1.080409358,1.160558162,1.159745325,1.22803878,1.051483948,1.078158049,1.048245247,0.97693543,0.983873948,1.024136525,1.06455585,0.993517506,1.191422948,1.099387755,1.079713869,1.032442528,1.009265373,1.09315159,1.101613538,1.047431249,1.216925676,1.12073111,1.094124033,1.03323655,1.006758622,1.068949769,1.174696071,1.185106548,1.133087148,1.019690718,1.030020287,1.056817571,1.0258076,1.06738854,1.034810468,1.05426552,1.157341182,1.039486846,1.043767225,1.057630339,1.023259763,1.0437571,1.103461196,1.192839121,1.021405268,1.019413855,1.01334628,1.000769071,0.997516261,0.977860508,1.066341354,1.131440893,0.049140188,0.000819159,0.047658348,0.273728619,0.255882904,0.121701686,0.241995733,1.064919958,-16.508715,2
0.082168882,0.090315438,-0.068581965,-0.02570393,-0.032567698,-0.125933534,-0.036963668,-0.036005951,0.077824426,0.026377547,-0.13374013,-0.023413436,-0.056943149,-0.166481358,-0.064190763,-0.013380342,-0.017314926,-0.001545495,-0.0452725,-0.074191667,-0.004620613,-0.065084467,-0.063966085,-0.021520701,0.008422903,0.031036586,-0.069233398,-0.024787664,-0.02198951,-0.056246086,-0.062876186,-0.066806878,0.024391976,0.027948676,-0.04295561,-0.021346301,-0.036451291,-0.075935705,-0.058142849,0.025417432,1.053013105,1.125253311,1.155621998,1.05160773,1.085286298,1.107677787,1.088374228,1.037532629,1.207955882,1.2208292,1.073587121,1.182031981,1.04411103,1.031022694,1.14012326,1.07084083,1.245855593,1.243431528,1.121746843,1.147659133,1.104322106,1.073376598,1.222827193,1.180251815,1.301379892,1.293236707,1.111754455,1.17176191,1.146886279,1.132529589,1.294905087,1.14568575,1.147142306,1.08493722,0.929012362,1.124023671,0.962060455,0.930796578,1.047547094,1.032103281,1.183133986,1.105023656,0.970686647,1.091337672,1.017539895,0.969033243,1.123535601,1.137556335,1.235862959,1.14928496,0.962039886,1.114257604,1.056759199,1.022435948,1.189760887,1.104240693,1.031375079,1.018513915,1.044858699,0.970920543,1.057667312,1.041079507,1.072539466,1.102172967,1.077340581,1.059310104,1.035551222,0.991311511,1.098433257,1.098452629,1.135758854,1.069893599,1.044567203,1.040054621,0.991092119,1.021001686,1.038543259,1.055109261,1.058943647,0.970712974,0.046543304,0.000819159,0.043448283,0.273410287,0.25471914,0.119355876,0.241110796,1.064199116,-16.90063363,2
0.133964552,0.036745853,0.124008526,0.090566646,0.008587199,0.273517209,0.194589633,0.166895136,0.138410416,0.056876105,0.143305425,0.113590601,0.01735426,0.24849272,0.234230773,0.173923024,0.143913348,0.063511543,0.205249355,0.103038871,0.040745658,0.16503068,0.275471921,0.129996586,0.133964159,0.025720888,0.138657713,0.048892236,-0.024806711,0.098044607,0.240085548,0.122599988,0.076839674,0.023804775,0.006026729,0.065713828,-0.022307056,0.144374762,0.186022865,0.097877342,1.044689848,1.039090823,1.056639142,1.03228643,1.048824575,1.077464845,1.023635353,1.055527091,1.087368486,1.089835942,1.026277435,1.110505607,1.04107876,1.205489957,1.037883381,1.122423911,1.160955347,1.18846637,1.106540765,1.194379919,1.154626292,1.344160918,1.146268837,1.187623136,1.29724991,1.234674417,1.276310681,1.204450837,1.178377436,1.332428259,1.275574958,1.295298498,1.040852927,1.048836077,0.971265775,1.075772745,0.992614767,1.118820686,1.013919047,1.063377644,1.111291881,1.143756006,1.047226741,1.157023752,1.100876467,1.247521833,1.119801924,1.125146997,1.241756022,1.188225696,1.207896462,1.166779686,1.123521954,1.236632699,1.246122415,1.227157986,1.067674263,1.090500252,1.078208218,1.075528041,1.109067187,1.115032863,1.10442932,1.05808788,1.193017755,1.132899337,1.243631242,1.084596809,1.131881161,1.105300174,1.229015688,1.154018982,1.117398627,1.038880399,1.153424006,1.008431922,1.020570417,0.991271388,1.112806103,1.090664588,0.040829914,0.001715415,0.039400144,0.29639445,0.239092505,0.098355305,0.24701747,1.032312751,-27.96178261,2
0.085774103,0.046453604,0.086830554,0.028435993,0.065335451,0.215342637,0.177839677,0.028271659,-0.023726786,0.02989482,0.026600574,-0.00133352,0.08405931,0.118288132,0.10736765,0.071394115,0.030066745,-1.90E-05,0.050404753,0.012248514,0.052043003,0.089883492,0.087622013,0.036952706,-0.008250105,0.033664028,0.03840655,-0.008405902,0.056587938,0.086350493,0.079677236,0.046137551,0.003852808,0.012390232,0.039379248,0.010437164,0.001789249,0.097088453,0.113611042,0.02056527,1.166419743,1.076297634,1.13783605,1.085501327,1.039668644,1.147966789,1.124908642,1.019144545,1.156230719,1.16992836,1.138615898,1.141167728,1.087846526,1.229744251,1.20007644,1.077832136,1.271020868,1.190376557,1.173236119,1.191418905,1.125639762,1.296567699,1.298110389,1.123028888,1.332430788,1.260286618,1.194494393,1.19796857,1.214740355,1.326369047,1.339469892,1.22788851,0.991264702,1.08699334,1.000685378,1.051281744,1.046339651,1.071236784,1.066821247,1.057585149,1.089677088,1.105991985,1.031111748,1.097574803,1.082690882,1.129447046,1.153969612,1.101932884,1.142325305,1.170946194,1.049794821,1.103608573,1.168391835,1.15540716,1.190736601,1.204822727,1.099279622,1.017478161,1.03040553,1.044034874,1.03474133,1.054339305,1.081689754,1.041933016,1.15239179,1.07723401,1.049075807,1.049774316,1.116646812,1.078573082,1.116153811,1.139220542,1.04831543,1.058729367,1.018119348,1.005497365,1.079155514,1.022984799,1.031861314,1.09337215,0.03667498,-7.71E-05,0.035513931,0.304285247,0.221975881,0.08381293,0.244943569,1.011893432,-41.26162096,2
0.089743447,0.101046392,0.00020825,-0.008906065,0.001834152,0.004868526,-0.07280683,-0.080457838,0.091146026,0.077259166,-0.00829203,0.002163053,-0.036755893,-0.00619311,-0.043120919,-0.115237194,0.041747758,0.029025539,0.026771125,0.024432313,-0.021233805,-0.009411168,-0.061583322,-0.041995668,-0.003041084,0.01483961,-0.005814856,-0.006915921,0.013692367,-0.022534921,-0.02613204,-0.034037742,-0.004180727,-0.010694562,-0.026747773,-0.052203955,-0.019672734,0.008026207,-0.025371014,-0.006619357,1.04743757,1.082656534,1.083991763,1.042437426,1.100325259,1.068049906,1.024792809,1.103626105,1.147445542,1.196218438,1.071985393,1.08665307,1.099592107,1.118695672,1.09490194,1.043293221,1.269002186,1.275710114,1.127753458,1.146436361,1.103337428,1.191446162,1.132894678,1.087635419,1.348090219,1.356977088,1.173981745,1.230771396,1.167342232,1.193561246,1.204789588,1.128100544,1.095478695,1.104891903,0.988923929,1.042415634,0.999333695,1.047418913,1.068412981,0.945332134,1.21153014,1.178314704,1.040370875,1.099765159,1.002737526,1.115534166,1.105486561,0.985510776,1.287036342,1.253377267,1.08301722,1.18066693,1.060906511,1.11751449,1.175642117,1.022176386,1.105936743,1.066452475,1.052023157,1.055015987,1.003406101,1.065031529,1.034699672,1.042502143,1.174862047,1.134389042,1.095147147,1.132625886,1.06161387,1.066922199,1.100363004,1.081288098,1.062323008,1.063703324,1.040991483,1.07356277,1.05801018,1.001775225,1.063461247,1.037204677,0.03148121,0.000520407,0.031951569,0.139903475,0.074294208,-0.013309466,0.096679668,1.017887735,-17.09640786,2
0.029748326,-0.123972286,-0.079871371,0.032517547,-0.004881908,0.039584253,0.028012594,-0.018679243,-0.032789898,-0.243793119,-0.007344334,-0.027462357,0.022195699,0.056680094,0.042703024,0.007331088,-0.008774279,-0.089200605,-0.036117189,-0.023869936,0.019305129,0.039668642,-0.079055969,-0.023775553,-0.100519434,-0.089341005,-0.022341702,0.004814541,-0.018343226,0.001537814,-0.054573129,-0.006554387,-0.061319071,-0.068634471,-0.032774287,-0.005948348,-0.052534621,0.017598768,-0.008216903,0.020651569,1.116598467,1.227107193,0.996252148,1.119088892,1.029916898,1.039203192,1.042703203,1.034465289,1.13953829,1.075291319,1.050500807,1.188089379,1.048781831,1.102708922,1.236989225,1.092605839,1.329090872,1.131112636,1.054999993,1.180409463,1.13170608,1.202981008,1.293867738,1.128596611,1.351413703,1.146819262,1.086718418,1.222548106,1.199733318,1.223180105,1.31268958,1.171724018,1.02054438,0.87628149,1.05445274,1.061657735,1.018316947,1.061110022,1.18632917,1.056203481,1.190303329,0.921771661,1.058968852,1.054795085,1.098832422,1.157599415,1.240878262,1.090995148,1.210295145,0.934571379,1.0908066,1.092449505,1.164883613,1.177036516,1.258929268,1.132685679,1.166341565,1.051912738,1.004282897,0.993535911,1.079067205,1.090932506,1.045981414,1.032940307,1.185930929,1.066519595,1.034476519,1.02900348,1.143930303,1.109250211,1.061197263,1.07241237,1.016795564,1.013885996,1.030064858,1.035698327,1.060110341,1.016790869,1.01454696,1.038213305,0.027845491,0.000520407,0.028389206,-0.094218556,-0.019668535,-0.050927641,-0.06878197,1.168945456,-5.406997763,2
-0.049450479,0.104355923,-0.0450847,-0.056077177,-0.05448884,0.086876122,-0.207429784,-0.135699757,-0.043848939,0.108146755,-0.02746571,-0.040549819,-0.053550356,0.075953264,-0.178950579,-0.147573734,-0.048794861,0.163755098,0.014383317,-0.065849902,-0.063266349,0.038364058,-0.223370123,-0.081041318,-0.082312327,0.051501513,-0.047909546,-0.0343546,-0.032313978,0.046878041,-0.164983676,-0.11374914,-0.063907971,0.025289779,-0.020062351,-0.018452156,-0.073374103,0.041951168,-0.149804453,-0.092592562,1.042641465,1.055642987,1.055308125,1.037021169,1.056892358,1.067016034,1.02091916,1.076675886,1.09615243,1.060909885,1.035940558,1.134956417,1.084339503,1.154320854,1.13090044,1.022282346,1.202528048,1.23493174,1.124288182,1.122897109,1.090814459,1.203234807,1.129437421,1.114242754,1.250925423,1.313287256,1.113173159,1.13188546,1.165562786,1.248935385,1.180590344,1.160791327,1.051322498,1.004989279,0.981647476,1.094439006,1.025969669,1.081821469,1.107727707,0.949480116,1.153347616,1.169838435,1.06536485,1.082810209,1.03209608,1.127663286,1.106294666,1.034891529,1.199765657,1.244063828,1.054832359,1.091477681,1.102820716,1.170493549,1.156399439,1.078125127,1.097044549,1.164030761,1.085282523,0.98937465,1.005971337,1.042374659,0.998706324,1.089955978,1.141196597,1.237887662,1.07455312,0.997294207,1.074905768,1.081965538,1.043938354,1.135489947,1.040246358,1.063449269,0.990113724,1.008004608,1.068525244,1.037981429,1.045290621,1.041775971,0.023170936,0.000520407,0.025474546,-0.048815286,-0.002200165,-0.052811908,-0.038533647,1.13298273,-6.670969451,2
0.096223781,-0.055388461,-0.10659132,-0.010333627,-0.04352065,-0.00178804,-0.142083938,-0.080147078,0.092797912,-0.070859206,-0.138541997,-0.012481236,-0.034900983,0.008486011,-0.102357409,-0.053365157,0.098148663,-0.043376308,-0.002911317,-0.027630363,-0.089439734,-0.042563445,-0.152866222,-0.02380873,0.022970917,-0.120742711,-0.040510996,-0.045890277,0.012879409,-0.019314171,-0.094903714,-0.001841304,0.036700299,-0.023731388,-0.030640045,-0.012719082,-0.06032518,-0.02288881,-0.078074354,-0.010221788,1.052073591,1.076904024,1.114642019,1.056372341,1.048492518,1.045531679,1.01079772,1.031841715,1.094985764,1.103934082,0.986026218,1.143185708,1.128448245,1.149764526,1.12226009,1.024202152,1.244088563,1.263226011,1.04376125,1.191548283,1.054232864,1.179666641,1.127896909,1.052908546,1.302630414,1.179726169,1.052837658,1.179846582,1.162710129,1.223167886,1.178498971,1.132589047,1.040788186,1.025099784,0.88461246,1.082180651,1.076257794,1.099693629,1.110271688,0.992596188,1.182510971,1.173016335,0.936409388,1.127962401,1.005474856,1.128293542,1.115848292,1.020416728,1.238155226,1.095479396,0.944552278,1.116885152,1.108935075,1.169900359,1.165909803,1.097638359,1.13616871,1.144294783,1.058553242,1.04230509,0.934232357,1.026007164,1.005022739,1.028028055,1.189632282,1.068656352,1.06775828,1.032069045,1.030361945,1.063842081,1.050112163,1.105825685,1.047056016,0.933899523,1.008695866,0.990179416,1.102896873,1.03687588,1.044864083,1.075676564,0.019016002,0.000819159,0.022236035,-0.017393561,0.003631495,-0.052414619,-0.018769355,1.103162271,-7.678244917,2
0.054311866,0.067476472,-0.017345757,-0.002597516,-0.029416571,-0.056062559,-0.110915286,-0.090650763,0.080198126,0.006405907,-0.071640761,0.001431794,-0.03895244,-0.053587384,-0.083238305,-0.119880742,0.029034892,0.15166191,-0.046841071,-0.012886711,-0.020933375,-0.0816201,-0.113565019,-0.030900473,0.020908308,0.066779916,-0.009305165,-0.021667361,-0.02844442,-0.047323672,-0.081012772,-0.050480156,0.016925371,0.030754839,-0.055783194,-0.012951984,-0.041563424,-0.064909673,-0.08267492,-0.042631797,1.023652217,1.123544856,1.137637824,1.049838836,1.068438681,1.053530219,1.025674575,1.097150885,1.123852677,1.036249505,1.134507825,1.134913622,1.064965082,1.133488148,1.111468032,1.019916309,1.19894075,1.176595737,1.111864436,1.171129865,1.115280006,1.148323541,1.151206037,1.094204545,1.277189179,1.262700122,1.188845246,1.189349881,1.156759141,1.208639926,1.227439742,1.157560136,1.097885257,0.922303635,0.997248686,1.081036043,0.996748902,1.07589524,1.083645885,0.929604417,1.171238367,1.047217413,0.977344822,1.115532998,1.043840911,1.089976842,1.122389172,0.997314553,1.247678809,1.12385377,1.04501206,1.132888059,1.082663107,1.147228531,1.196714603,1.055060112,1.066813092,1.135436718,0.980041223,1.031911013,1.047245609,1.013088264,1.035752719,1.07283758,1.136438258,1.218529047,1.047895149,1.047965112,1.086194431,1.066301335,1.104341021,1.134956001,1.065264633,1.073180942,1.069235787,1.01555764,1.037191679,1.052525601,1.066220731,1.057901049,0.015380282,0.000819159,0.019483301,-0.025233823,-0.002530507,-0.047159793,-0.023842945,1.105207684,-7.038600814,2
-0.026164528,-0.121739709,-0.022374118,0.075151601,-0.030900271,-0.071620016,-0.152402339,-0.056163372,-0.068648379,-0.127948255,-0.035143292,0.025583116,-0.04843951,-0.033646014,-0.164860791,-0.06051819,-0.041236695,-0.062097691,-0.048098725,0.074922433,-0.10124731,-0.02659938,-0.155753385,-0.073305388,-0.06000243,-0.094653426,-0.027356903,0.057020292,-0.062586744,-0.031416109,-0.162717031,-0.047200043,-0.05671206,-0.061105841,-0.016368065,0.027389532,-0.01444908,-0.035543153,-0.097781021,-0.079866992,1.096626336,1.066808023,1.089003369,1.105025773,1.077441456,1.014784516,1.073380697,1.066806434,1.114152341,1.046879439,1.130193654,1.123445323,1.158358557,1.051793037,1.112554104,1.107037673,1.202746839,1.140649396,1.126704907,1.168443008,1.154133578,1.110848815,1.204583423,1.131792863,1.271793281,1.14052262,1.135367316,1.231720124,1.123214888,1.152524739,1.189756525,1.250080761,1.015981748,0.981319428,1.037823836,1.016668888,1.075101158,1.036469339,1.036495353,1.037711845,1.096769975,1.069217115,1.034620222,1.057389824,1.07117985,1.094664727,1.122233171,1.060916796,1.159732572,1.069098279,1.042574659,1.114652847,1.042483452,1.135733469,1.108419901,1.171797171,1.079517401,1.089570923,0.996913143,1.040053292,0.996352615,1.056147718,1.082718961,1.022361651,1.141489573,1.089449824,1.004577678,1.096377454,0.969660803,1.09577141,1.06939206,1.129212485,1.057407294,0.999888857,1.007688268,1.054155073,0.973210476,1.037517188,0.987691266,1.104513734,0.010705728,0.000520407,0.016892492,-0.051453722,-0.017387404,-0.038849846,-0.041129651,1.118841398,-5.842998371,2
